Hash,Phylum,Class,Order,Family,Genus,Species
bf5fb30ed1cb71468ac5f842314f3b9841142760,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
5a3d1b28b1ddffe069521da4a7609a102688d627,NA,Polycystinea,Collodaria,NA,NA,NA
56db9b8934558866af0f1f1eaf48a1122b20eb51,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
a145a40787b04637744888e0e1580dd7b4dbbd1b,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
967a00d91e1b8279afe69c53c9d9908868aeebf9,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
e9df96b4b8095a1d6d53b05d63742ff85af54576,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
8577eff0f563ec52315e009601f4f144ea2b9efe,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,NA
34d551bddae4c73dc2daa9846dfd97ec84f63095,Arthropoda,Malacostraca,Decapoda,Alpheidae,NA,NA
45fb698feef52a2164490c6bef2c419c3277f950,Chordata,Thaliacea,Pyrosomata,Pyrosomatidae,NA,NA
1715d37466db71a6120aad12051e317573737460,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
7e6df5fb217a150552b2d34b37c711559448fc17,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
65cce1aeec3a8d71a77ae7033fb80f5c17825d96,NA,Polycystinea,Collodaria,NA,NA,NA
d036976571dc84ced6d4c43c766faba1237f0cd5,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,NA
a599b03b93a9a294c1cf746940cf97a6a84af936,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,NA
9eb289262708592f5a9da189daa89619bd3d3b93,Arthropoda,Hexanauplia,Calanoida,Calanidae,Neocalanus,NA
75f9cc1fd24f7b330a37d28a1d36ba861a5eb45f,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
b3bfc1522e0184d97e51aae640966a24247e7589,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
dbd95065a6787486d688fdf5fdc905e08c92b3c7,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
fb6eded57127c8b10aecde543752841f8a6e2543,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
6b0a0ea79d962f288498ad0340c4241ef1abc110,Cercozoa,NA,NA,NA,NA,NA
a192d8f4e2164c6c965a8d1dcc680958fb791c45,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,NA
5eb4964f39d7646d3f23200215f56a18b69ea8c6,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
02674ce12f1c4dce64c6f67782e4b588240ce808,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
24343a445c96b997808a056ab7913470b690936b,Chordata,Thaliacea,Salpida,Salpidae,NA,NA
99ba0382e7a698637a042caec0dcdd415f551b33,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
49acecd02ccd5770ea0f75f351550aa447901a5c,Cnidaria,Hydrozoa,Siphonophorae,NA,NA,NA
5746f43063ff1ae03ed18e54fec36f56f3bba3ef,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
3f42e5232e8b6a4552895a81fc2e6c42712289cc,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
4ec8d9d384e15fa5a353b5d1cd769ee07c655c54,Annelida,Polychaeta,Phyllodocida,Tomopteridae,Tomopteris,NA
3801a3008840849768879107a7012d957cc233ea,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
af1203ec12d6af68537b36fdfea79e3a53934f11,Chordata,Thaliacea,Doliolida,Doliolidae,NA,NA
f4fd9225e174b6d1cf4de7fd183ddcd6dea538f7,Cercozoa,NA,NA,NA,NA,NA
d22f4f506fc83a332f59b9c9aed21cfb2215d626,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
01cfa38140aa27513302c83969784a3f310533bf,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
dd9ab0bde274b12a769a68774748905fb7188c0b,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
261459382b1bb870239a7f77e13a007f5d4be82b,Arthropoda,Malacostraca,Decapoda,Sergestidae,NA,NA
11e73a6cb407f486e216772ee0c421774380ca59,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
46f27f2f56e61a28864cdb558572ac9e8bdbb3c8,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,NA,NA
6b7f2e606b0368d6ff7e65ee22ac32c2e85fdc23,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
f2336bc64838dd0387dadefdebf6661114aff2be,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
02aee835d579ca91ab0c6aea5b6cf69a287fa7e5,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
e3e4ff5749c1329755e3065b8242548dafa17049,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
531e748f45c62b379e09b6adc9f472ab43eb34dc,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
02093d4b1f1d2e1fcf497230b517e5990a1f4a38,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,NA,NA
cb7758e8f39b2aeb6e8fc6931a0f1bfd99f5dd32,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
09f0f81e918be13468041d213bbcc3701965c080,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
db4fca415c979bb2f27813230051357ea555e675,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
7fa672a27646a3b691538fd146538e60774487c7,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
5bdbb39c24fb400162c20bf15ed51a729ba9aa13,Annelida,Polychaeta,Phyllodocida,NA,NA,NA
7f9edb0bab7680d63d5a7cbb6f1d488d32953209,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
2274c15359e48b6230482cf972929e6d7af6bcc0,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
7a5076afda3c4bbdb045196fafc6cd2efc683e7b,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,NA,NA
40f7b4eaf53b5bd7e72d4267bc9f0894652f0d60,NA,Polycystinea,Collodaria,Collophidiidae,Collophidium,NA
8a0f626ac39dbf2bba4f983d8f13c759e59b0051,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,NA,NA
5b0767e43273de2f7dec3209ec957f8fbe6cecc3,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
2a24470d9f6f016d43a270ded06f52d73df93b2b,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,NA,NA
03676dfeb509dd7a10efdb9ea75c332304d65559,Arthropoda,Malacostraca,Euphausiacea,Bentheuphausiidae,Bentheuphausia,Bentheuphausia amblyops
14185f4dd88bc581f98ab10ffd2cb11423e579a1,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
29b000a16548236d181fe8979ef3b3c8fc4ac4e6,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,NA
2c29d2d209eb3ba54d8edc80d83fbef9e99e2995,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
cf20a5c3684c767dd7a47573041ed57b174d91b4,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
f7fbedc737aed45a36818695a176fc4d66ffa3a4,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus furcatus
6773b839a748a8a081ab34eb36bab6fda52bbaa6,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
365b8b1ba877a79539ced40666fce3301c0ee5bd,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
3b7b32265db45b7b061ff012feb4e9c3a4af9cce,Arthropoda,Hexanauplia,Calanoida,Candaciidae,Candacia,NA
2b07110b4f28ab3f99f5fc9b443fbc7a69f151f6,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,NA,NA
fee2b972e2337c7fec774733831482a13e032658,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,Calocalanus,NA
21e69ca78e04de8efddb3cb3d7585fcacc00eeff,Arthropoda,Hexanauplia,Calanoida,Metridinidae,NA,NA
5e14eb69f3ded47e81cbde8662320eb91d4db274,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
8a22f60aa7e51d983718a9e13b1b79086d088b7c,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
5594a06319720f7c869a0ba975b46017d8cb0c3e,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
a526b17c343f9167a2d98d3e7316c85a21835d47,NA,NA,NA,NA,NA,NA
3aec7fb27586ce5dbe340c95348bb34e238f9e87,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
14981a8153f0cc86d204510793cc8a0904eaf7a2,Arthropoda,Hexanauplia,Calanoida,Calanidae,NA,NA
8c007ee742d281a07ff08ace82d01007ffb7accb,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
b5e3df8f620059fa1c206bf7d034aa7cde610077,NA,Polycystinea,Collodaria,NA,NA,NA
c4fe96ab4bb76aabbbf14d407d2bc730596c6c39,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
e254e33a5ce70445a89c326c686d0ca16778faa0,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
ac384404529e503efeb007347b0d8e05ab50e11f,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,NA
30305359d96310766f4c2fd4fb8385e2c628f86f,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
228e9bd4e36a3cb0f5938e8d212a43c35355615e,NA,Polycystinea,Collodaria,Collophidiidae,Collophidium,NA
819c9a5116bcd10c62977fcc71ea5c9d3e1a87a3,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA
797f748e36cdfa7759685d94f831c8c27ad02d95,Arthropoda,Hexanauplia,Calanoida,Eucalanidae,NA,NA
af5ea7274c611cbd5dc67f669804d691126cd232,Arthropoda,Hexanauplia,Calanoida,Mecynoceridae,Mecynocera,Mecynocera clausi
a884906383f29cb9637d008fea0a85cba5ed0652,Arthropoda,Hexanauplia,Calanoida,NA,NA,NA
