"","Phylum","Subphylum","Class","Subclass","Order","Superorder","Family","Genus","Species","Hash"
"29","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","ca70d50751542d35659403dc72f03416412d82f8"
"30","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","4cf7b276e564c3a8c32f42bb4888dbb65da1c5a3"
"31","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","b6c961a9401217228e05daac6464e2e04816758a"
"32","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","1455e0bca8ae9df317b44f49414f6feb807c710f"
"33","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","90e55f27b71a87af18e2ab9f75e6b1b232ee7d4e"
"34","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","a960178b9e4035b813caaa76ade3be5b79cfd29a"
"35","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","feeb90bb04364ba5b51a37580aec515fb01bb024"
"36","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","0a19cb3e89d835f71f2511817816e72a13f12504"
"37","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","248c3d8841ec5d3f7fef663348c830c67d885b6a"
"38","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","4047a9b6d9c19a9652943c6792c437c6c6204360"
"39","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","bd215e9a545800058c1d37bdb961dda33ef0a4f2"
"40","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","e1915f8d623e9360aa5ce6d088b4ed9bb305b964"
"41","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","08aba8adcabf8153dbb260a8c1e09d9e6383bb87"
"42","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","38c51aa2f86cc14ce0f051e24b4841b9f19ecd3a"
"43","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","73bd7d5ad6cda9482d2f2531e0f296172e268d8b"
"44","Platyhelminthes","Rhabditophora","Class","Subclass","Polycladida","Superorder","Notocomplanidae","Notocomplana","Notocomplana humilis","bcee65e78d97be5d4e11196b1ecf02487533304c"
"45","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","1dab2f7ad7e9b19ff2bdc48b66844f7080e59bdc"
"46","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","20b5ec6872a4b64c8d4204a9c4e735609e284ab6"
"47","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","23f0bc9737e8f27bb71ae8a965978f4bf4ea9422"
"48","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","3eb5edaf071a836479ebc8aeeb20b961ef4b4d79"
"49","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","9d1ba6c6f13dba89b24a4f2a894ef64fc9599a40"
"50","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","ae87fd2b2c9130d4d9c056b3621e0a28643023dc"
"51","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","547810e355dc23e3a9be7a5c274387d40a50e69b"
"52","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","a43b54536e3b79b6b142aa805f59e6521e4a70b6"
"53","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","b80083d758df486b163e38804a7bb581e7bc732a"
"54","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","0e9007b4e89534a63556b4c2781104595c9b3b9e"
"55","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","5669f152a6689a5ce77d23a11e48af62c022c1ca"
"56","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","48bee2286ca00da1335d3a0911ea483084f2c993"
"57","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","d4b24a2b37f6b027ab63d1a04528ee4d93a50b78"
"58","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","3b8786430de3d7fc1d7a51dafe547c49adadb841"
"59","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","b0b36652ce5c064f95e98804521283ea149e25b4"
"60","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","38276d45c5eaaaa75353c87992ba7babaf99a2d4"
"61","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","902c6d61e7b4a0d8f8c5fb02ffa66027a77a304b"
"62","Chordata","Tunicata","Thaliacea","Subclass","Doliolida","Superorder","Doliolidae","Doliolum","Doliolum nationalis","267e64ae0cec348978cbe162c3b2f63da1d6f873"
"63","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","84f21c3e0c26eb532e1a16d406d544301f25331f"
"64","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","b53b1c6a7b31c3362af3e450eec31c6df0be8d65"
"65","Ctenophora","Subphylum","Tentaculata","Subclass","Cydippida","Superorder","Mertensiidae","Charistephane","Charistephane fugiens","0e1296575253520f52538d918bbc59785b8edd79"
"66","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","0c504186478970db981e4601648ad5ff105aaa9b"
"67","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","718a1226c78f3c2a810fb9b72cd3dfa8926e22a3"
"68","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","e8d86c849cbebe738c4b6601befc1b5ffcf339d1"
"69","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","f4364ff469e8ef589e24bf87eac97294c7d1077e"
"70","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","73877fc714ae4ab1e85b6af55996f14eaf8a8b1c"
"71","Chaetognatha","Subphylum","Sagittoidea","Subclass","Aphragmophora","Superorder","Sagittidae","Genus","Species","9dc37e40eb0aab9b0e40c435eb05ab8096aed948"
"72","Mollusca","Subphylum","Gastropoda","Heterobranchia","Pteropoda","Superorder","Cliidae","Clio","Clio pyramidata","383b2bec07d5377267456766a56e3d0eba31dbf0"
"73","Mollusca","Subphylum","Gastropoda","Heterobranchia","Pteropoda","Superorder","Clionidae","Clione","Clione limacina","3ea7b6a928bcc8605fdb9fa4ca86d0778af85005"
"74","Mollusca","Subphylum","Gastropoda","Heterobranchia","Pteropoda","Superorder","Clionidae","Clione","Clione limacina","8744dd2858c0eda66f6daf9c90a1b92a6ab6c820"
"75","Mollusca","Subphylum","Gastropoda","Heterobranchia","Pteropoda","Superorder","Limacinidae","Heliconoides","Heliconoides inflatus","b4c02705d349680ce498e83af332b7b34e5eb2b7"
"76","Mollusca","Subphylum","Gastropoda","Heterobranchia","Pteropoda","Superorder","Limacinidae","Heliconoides","Heliconoides inflatus","aee6835ccbeebe3986ac2cb915d482c9af7f2a24"
"77","Mollusca","Subphylum","Gastropoda","Heterobranchia","Pteropoda","Superorder","Limacinidae","Heliconoides","Heliconoides inflatus","1dfabd1fb36e925dabf57e6ced258ec2420af3da"
"78","Mollusca","Subphylum","Gastropoda","Heterobranchia","Pteropoda","Superorder","Cliidae","Clio","Clio pyramidata","5f3e3071e3b0c2ff02c5aaa392f3329050db3e87"
"79","Mollusca","Subphylum","Gastropoda","Heterobranchia","Pteropoda","Superorder","Limacinidae","Heliconoides","Heliconoides inflatus","79945e3b03896c55e4bffaf684e998959fab4cd9"
"80","Mollusca","Subphylum","Gastropoda","Heterobranchia","Pteropoda","Superorder","Cliidae","Clio","Clio pyramidata","524966e7b0b3d9eb0151d624f36fa2c958a987ba"
"81","Mollusca","Subphylum","Gastropoda","Heterobranchia","Pteropoda","Superorder","Cliidae","Clio","Clio pyramidata","b550711c77469fe6572432d2e66bfda1032a85d3"
"82","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Nanomia","Nanomia bijuga","8f00bd43b9cef841b113073b7bdea53114cd7384"
"83","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","a166094ea1387c31c78c02aa1b82a199d945f714"
"84","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Prayidae","Rosacea","Rosacea cymbiformis","c3db1f4fb87f52065f108aea13bad38e2d74d8fa"
"85","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Muggiaea","Muggiaea atlantica","d87c7627d43106f0ae596b8a668b5e65bafb5c61"
"86","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","","","","f40453b90e9aef99a029ca83726434c386cccf18"
"87","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Muggiaea","Muggiaea atlantica","1893923acab4675b218cf79879e1f49ccdbef020"
"88","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Prayidae","Rosacea","Rosacea cymbiformis","1ce309e4db3f0f96de86e79c08e629ad39e50c68"
"89","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Prayidae","Rosacea","Rosacea cymbiformis","11f6090e3579ac3eeba08e00d2172af4bd4b49dd"
"90","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Prayidae","Rosacea","Rosacea cymbiformis","ad3bf920c93219da8eeb9537fa21fdecc5b77c7e"
"91","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Nanomia","Nanomia bijuga","b09865c65f15f4a8a2798227db18b6d3169aba27"
"92","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Nanomia","Nanomia bijuga","dead83d7b96937d3991764b4bf7bd383a5eb85e8"
"93","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Prayidae","Rosacea","Rosacea cymbiformis","32592cd656c827346423093e2e390b39b13dfab3"
"94","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Nanomia","Nanomia bijuga","cad275fc1dd0d22b4fc6d288376195891e7a71bf"
"95","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Nanomia","Nanomia bijuga","b3bb66eeb9c585969ae1072453c9b031cea4ab04"
"96","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Marrus","Marrus orthocanna","0c41d92acd534960061dfba1beb00f1917f3afc4"
"97","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Marrus","Marrus orthocanna","34ac2f188bf73d6c52b9933ba762c46b06845238"
"98","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Muggiaea","Muggiaea atlantica","67699186f2500d9fed3b98c89a41824904dec096"
"99","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia achilles","25c208e03a668c3e073411c7916d4c236fea3fee"
"100","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Agalma","Agalma elegans","9e4a0a507e7d39594f4a64ca2eaa4d4b3a1da8a6"
"101","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Muggiaea","Muggiaea atlantica","77756dfc3d52fb50f465d3eb71ce2a988abaef32"
"102","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","","","","33594baacc4265a006d66d6e3a39f7b2839206f7"
"103","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","74b499078650335d6f86c14b17614f76b1854018"
"104","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","c5b01390b1e8ada15aebcf953c700241b226a2bf"
"105","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Apolemiidae","Apolemia","","ccefe43aecdd47a1cd28576927eb17bca2811aad"
"106","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia achilles","d0093c1430ae1e70f99225c912d2074dc91a78da"
"107","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","2c86aab8576add61a70d6244c47dd27c038aa25e"
"108","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","690ca69afbb4baf2cee0a52ca617accd4a42b135"
"109","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","c41035a8edd34d3016b2d5156e4ea66ce9d1ee69"
"110","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","efe71a0ae12f280372080cd9f414e32e797e47dc"
"111","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","0aa71d40aa0334ecc871b823e308854f38365c4f"
"112","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","05342acd340f0ded4b3e856ecf2704e43adbbbc8"
"113","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","0cd1b1355ebccd553a521a029e63ba156e14299f"
"114","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","","","","9bfcd3bcbf319875ed6387b7def9905d8826323f"
"115","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","444861f2c16028e9b144f3a03d3a0b0b4f3aa41c"
"116","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Agalma","Agalma elegans","5234d5ef2703aee023a50893482e24b0caf9e087"
"117","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","64aaa82f23b15e0240081b1f2c889b5d9ed024e2"
"118","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Agalma","Agalma elegans","b9263b8d429df6ce8564d9619b66cf180034b707"
"119","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Agalma","Agalma elegans","06031612cc42723c4895af0e40c9183cc4837fa9"
"120","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Agalma","Agalma elegans","154a8c08ffa3c2c8efca0eb1b351813f905a95f9"
"121","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Muggiaea","Muggiaea atlantica","20b4811da07af12840699b671807210695555c66"
"122","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Agalma","Agalma elegans","77c99fbeec352fd1c15297052886f37416a13416"
"123","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","c60b8fbbe5c4e8b61f66338c6bc66c1bd11451ea"
"124","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia cossack","df8d9090d1b9dd6f893247a4ecda3c1a79d744c6"
"125","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Agalma","Agalma elegans","01ff6dedcf9317a7d3435b75319b72b0d7427f3a"
"126","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Agalma","Agalma elegans","26cc1703226eed42ddaaf9d41b349e850695ec62"
"127","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","b76a4090bd1c08e233ad41b6bd3e16401035bdd2"
"128","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","c181283a43d94199ab03ed7b5207991dbcd1e1dd"
"129","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Agalma","Agalma elegans","8b71244075a4088de8b180703aee18002fcc3d26"
"130","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Muggiaea","Muggiaea atlantica","896cd6535a2fecee8816aca4852874d41d8bdefd"
"131","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Muggiaea","Muggiaea atlantica","ca11cb5657ec52398b2fb4bc6f1fd8ad5136e813"
"132","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Prayidae","Amphicaryon","Amphicaryon acaule","d2dec109e26e1901255a39c925ef1a2b616a6258"
"133","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Nanomia","Nanomia bijuga","5060f9cee2cf5a5fd9d18aba522442aac691878c"
"134","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia achilles","b7b8fc214fb3405a729d10d346e60b8fd1b38caa"
"135","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Nanomia","Nanomia bijuga","c1e32db39466e4d2698d9d37631a05d16e2086b6"
"136","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Nanomia","Nanomia bijuga","dca3902120d26574195c2da0010ff3059418cba8"
"137","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Muggiaea","Muggiaea atlantica","d6c85a1d78044a18dd1b3c66030917c9f0e81e59"
"138","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Nanomia","Nanomia bijuga","7b32b5bd6712b6febbd66c6bb0a1b40702a91222"
"139","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Diphyidae","Lensia","Lensia campanella","466e08c58d0db760c88a6d71a588bd0dc743fcb6"
"140","Cnidaria","Subphylum","Hydrozoa","Hydroidolina","Siphonophorae","Superorder","Agalmatidae","Nanomia","Nanomia bijuga","c9da9a307b552b62179afb0416b46c3fa4cd8901"
"141","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Trachymedusae","Superorder","Rhopalonematidae","Pantachogon","Pantachogon haeckeli","c25abcc3358f7552ed039ccacfb4b28467b2ca9b"
"142","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Trachymedusae","Superorder","Halicreatidae","Botrynema","Botrynema brucei","44f408ac8f2456bfef156a8140f247445a7f50b4"
"143","Cnidaria","Subphylum","Hydrozoa","Trachylinae","Trachymedusae","Superorder","Halicreatidae","Botrynema","Botrynema brucei","66ad6b2a1f44ed526859c089642d38692ed8eba9"
"144","Cnidaria","Subphylum","Scyphozoa","Discomedusae","Semaeostomeae","Superorder","Phacellophoridae","Phacellophora","Phacellophora camtschatica","a15fa1e1831ffac3265b6f2979da3a880f156124"
"145","Cnidaria","Subphylum","Scyphozoa","Discomedusae","Semaeostomeae","Superorder","Phacellophoridae","Phacellophora","Phacellophora camtschatica","dd05f6ca0253c97a9721ef0a9e9ac90286aeb4e2"
"146","Annelida","Subphylum","Polychaeta","Errantia","Phyllodocida","Superorder","Tomopteridae","Genus","Species","66f6c47c5979aac96f1df5faa6d01a8bff3086f2"
"147","Arthropoda","Crustacea","Hexanauplia","Copepoda","Calanoida","Gymnoplea","Clausocalanidae","Ctenocalanus","Ctenocalanus vanus","07328927fc0c18593bb6c76c71003e458b43b9c2"
"148","Arthropoda","Crustacea","Hexanauplia","Copepoda","Calanoida","Gymnoplea","Eucalanidae","Eucalanus","Eucalanus californicus","074b9b1b350f6ab258f9ed33b6b0d14b27559959"
"149","Arthropoda","Crustacea","Hexanauplia","Copepoda","Calanoida","Gymnoplea","","","","091ecde18aa0935058fd59a1af0937bcb58d4a2e"
"150","Arthropoda","Crustacea","Hexanauplia","Copepoda","Calanoida","Gymnoplea","Calanidae","Calanus","Calanus pacificus","0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0"
"151","Arthropoda","Crustacea","Hexanauplia","Copepoda","Calanoida","Gymnoplea","Eucalanidae","Eucalanus","Eucalanus californicus","0e1202671cb104c88b6ea9e2776af00a3a3dc0a6"
"152","Arthropoda","Crustacea","Hexanauplia","Copepoda","Calanoida","Gymnoplea","Acartiidae","Acartia","Acartia Acartiura margalefi","13f9c2153fbb76323f3d8656aa435b7ddf79b35b"
"153","Arthropoda","Crustacea","Hexanauplia","Copepoda","Calanoida","Gymnoplea","Acartiidae","Acartia","Acartia Acartiura margalefi","1703ccbe1fffc218367bd25e96fc4dc95f6d5011"
