,potemp2,density2,oxy_sat,Sal2,NO2,nitracline_depth,NO3,fluorescence,hypoxia_depth,chl_max_depth,PO4,SIL,NH4,beam_depth,chl_max,mixedlayerdepths,intergrated_chl,day_night_0_1,distance_from_shore,PAR_1_depth_adj,Sizefractionmm,max_size,cycle,Sample_ID_short,Sample_ID_dot,PC1,Longitude,Latitude
C2-T9-H19_S2,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5-1,1,2,C2-T9-H19,C2.T9.H19_S2,-2.811058313,-123.226,36.46062
C2-T9-H19_S3,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,2-Jan,2,2,C2-T9-H19,C2.T9.H19_S3,-2.811058313,-123.226,36.46062
C3-T6-H25_S1,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.2-0.5,0.5,3,C3-T6-H25,C3.T6.H25_S1,4.6044581,-130.477,34.56042
C3-T6-H25_S2,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.5-1,1,3,C3-T6-H25,C3.T6.H25_S2,4.6044581,-130.477,34.56042
C3-T6-H25_S3,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,2-Jan,2,3,C3-T6-H25,C3.T6.H25_S3,4.6044581,-130.477,34.56042
C3-T7-H26_S1,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,0.2-0.5,0.5,3,C3-T7-H26,C3.T7.H26_S1,4.437854817,-130.4595,34.52752
C3-T7-H26_S2,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,0.5-1,1,3,C3-T7-H26,C3.T7.H26_S2,4.437854817,-130.4595,34.52752
C3-T7-H26_S3,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,2-Jan,2,3,C3-T7-H26,C3.T7.H26_S3,4.437854817,-130.4595,34.52752
CT1-T1-H28_S1,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,0.2-0.5,0.5,T1,CT1-T1-H28,CT1.T1.H28_S1,2.054216937,-128.5755,34.96055
CT1-T1-H28_S2,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,0.5-1,1,T1,CT1-T1-H28,CT1.T1.H28_S2,2.054216937,-128.5755,34.96055
CT1-T1-H28_S3,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,2-Jan,2,T1,CT1-T1-H28,CT1.T1.H28_S3,2.054216937,-128.5755,34.96055
CT1-T2-H29_S1,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,0.2-0.5,0.5,T1,CT1-T2-H29,CT1.T2.H29_S1,3.394650309,-127.5728,35.0498
CT1-T2-H29_S2,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,0.5-1,1,T1,CT1-T2-H29,CT1.T2.H29_S2,3.394650309,-127.5728,35.0498
CT1-T2-H29_S3,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,2-Jan,2,T1,CT1-T2-H29,CT1.T2.H29_S3,3.394650309,-127.5728,35.0498
CT1-T3-H30_S1,18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.52148287,24.685,1,450.7865706,86,0.2-0.5,0.5,T1,CT1-T3-H30,CT1.T3.H30_S1,3.727302931,-126.6352,35.02288
CT1-T3-H30_S2,18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.52148287,24.685,1,450.7865706,86,0.5-1,1,T1,CT1-T3-H30,CT1.T3.H30_S2,3.727302931,-126.6352,35.02288
CT1-T3-H30_S3,18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.52148287,24.685,1,450.7865706,86,2-Jan,2,T1,CT1-T3-H30,CT1.T3.H30_S3,3.727302931,-126.6352,35.02288
CT1-T4-H31_S1,18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434391,39.938,0,353.6559397,84,0.2-0.5,0.5,T1,CT1-T4-H31,CT1.T4.H31_S1,3.259153374,-125.5235,35.09508
CT1-T4-H31_S2,18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434391,39.938,0,353.6559397,84,0.5-1,1,T1,CT1-T4-H31,CT1.T4.H31_S2,3.259153374,-125.5235,35.09508
CT1-T4-H31_S3,18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434391,39.938,0,353.6559397,84,2-Jan,2,T1,CT1-T4-H31,CT1.T4.H31_S3,3.259153374,-125.5235,35.09508
CT1-T5-H32_S1,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,0.2-0.5,0.5,T1,CT1-T5-H32,CT1.T5.H32_S1,2.057413352,-124.7213,35.11383
CT1-T5-H32_S2,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,0.5-1,1,T1,CT1-T5-H32,CT1.T5.H32_S2,2.057413352,-124.7213,35.11383
CT1-T5-H32_S3,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,2-Jan,2,T1,CT1-T5-H32,CT1.T5.H32_S3,2.057413352,-124.7213,35.11383
CT1-T6-H33_S1,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,0.2-0.5,0.5,T1,CT1-T6-H33,CT1.T6.H33_S1,2.808803596,-123.8861,35.15777
CT1-T6-H33_S2,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,0.5-1,1,T1,CT1-T6-H33,CT1.T6.H33_S2,2.808803596,-123.8861,35.15777
CT1-T6-H33_S3,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,2-Jan,2,T1,CT1-T6-H33,CT1.T6.H33_S3,2.808803596,-123.8861,35.15777
CT1-T7-H34_S1,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,0.2-0.5,0.5,T1,CT1-T7-H34,CT1.T7.H34_S1,-1.021747674,-123.1012,35.20463
CT1-T7-H34_S2,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,0.5-1,1,T1,CT1-T7-H34,CT1.T7.H34_S2,-1.021747674,-123.1012,35.20463
CT1-T7-H34_S3,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,2-Jan,2,T1,CT1-T7-H34,CT1.T7.H34_S3,-1.021747674,-123.1012,35.20463
CT1-T8-H35_S1,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,0.2-0.5,0.5,T1,CT1-T8-H35,CT1.T8.H35_S1,-1.240985634,-122.3004,35.1785
CT1-T8-H35_S2,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,0.5-1,1,T1,CT1-T8-H35,CT1.T8.H35_S2,-1.240985634,-122.3004,35.1785
CT1-T8-H35_S3,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,2-Jan,2,T1,CT1-T8-H35,CT1.T8.H35_S3,-1.240985634,-122.3004,35.1785
CT2-T1-H36_S1,15.831225,24.523775,70.634,33.3592625,0.188328994,24.13100104,6.475130769,2.00485,144.391,19.85366667,0.649509372,5.675964988,0.23236203,17.868,2.443066667,23.89114571,68.88,1,395.8283457,60,0.2-0.5,0.5,T2,CT2-T1-H36,CT2.T1.H36_S1,-2.177361041,-121.6069,35.56327
CT2-T1-H36_S2,15.831225,24.523775,70.634,33.3592625,0.188328994,24.13100104,6.475130769,2.00485,144.391,19.85366667,0.649509372,5.675964988,0.23236203,17.868,2.443066667,23.89114571,68.88,1,395.8283457,60,0.5-1,1,T2,CT2-T1-H36,CT2.T1.H36_S2,-2.177361041,-121.6069,35.56327
CT2-T1-H36_S3,15.831225,24.523775,70.634,33.3592625,0.188328994,24.13100104,6.475130769,2.00485,144.391,19.85366667,0.649509372,5.675964988,0.23236203,17.868,2.443066667,23.89114571,68.88,1,395.8283457,60,2-Jan,2,T2,CT2-T1-H36,CT2.T1.H36_S3,-2.177361041,-121.6069,35.56327
CT2-T4-H39_S1,16.11135,24.6348375,81.589375,33.58603125,0.180388032,26.97258367,6.151914118,1.3498,244.565,19.854,0.633395467,5.435990441,0.222955797,13.898,2.579066667,32.90561905,46.21,1,41.86359276,45,0.2-0.5,0.5,T2,CT2-T4-H39,CT2.T4.H39_S1,-1.910761547,-121.2592,35.13105
CT2-T4-H39_S2,16.11135,24.6348375,81.589375,33.58603125,0.180388032,26.97258367,6.151914118,1.3498,244.565,19.854,0.633395467,5.435990441,0.222955797,13.898,2.579066667,32.90561905,46.21,1,41.86359276,45,0.5-1,1,T2,CT2-T4-H39,CT2.T4.H39_S2,-1.910761547,-121.2592,35.13105
CT2-T4-H39_S3,16.11135,24.6348375,81.589375,33.58603125,0.180388032,26.97258367,6.151914118,1.3498,244.565,19.854,0.633395467,5.435990441,0.222955797,13.898,2.579066667,32.90561905,46.21,1,41.86359276,45,2-Jan,2,T2,CT2-T4-H39,CT2.T4.H39_S3,-1.910761547,-121.2592,35.13105
CT2-T8-H43_S1,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,0.2-0.5,0.5,T2,CT2-T8-H43,CT2.T8.H43_S1,-2.955154777,-120.8298,34.54325
CT2-T8-H43_S2,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,0.5-1,1,T2,CT2-T8-H43,CT2.T8.H43_S2,-2.955154777,-120.8298,34.54325
CT2-T8-H43_S3,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,2-Jan,2,T2,CT2-T8-H43,CT2.T8.H43_S3,-2.955154777,-120.8298,34.54325
