"","C1-T7-H9_S1","C1-T7-H9_S2","C1-T7-H9_S3","C1-T8-H10_S1","C1-T8-H10_S2","C1-T8-H10_S3","C2-T8-H18_S1","C2-T8-H18_S2","C2-T8-H18_S3","C2-T9-H19_S2","C2-T9-H19_S3","C3-T6-H25_S1","C3-T6-H25_S2","C3-T6-H25_S3","C3-T7-H26_S1","C3-T7-H26_S2","20C_Pooled-A1-A3.1","20C_Pooled-A1-A3.2","20C_Pooled-A1-A3.3","24C_Pooled-A1-A3.1","24C_Pooled-A1-A3.2","24C_Pooled-A1-A3.3","28C_Pooled-A1-A3.1","28C_Pooled-A1-A3.2"
"Paracalanus parvus 961cd5ce154310c7fd54468560aca8d35041c8c7",2276.66666666667,0,0,168,0,0,1030.33333333333,70.3333333333333,0,0,17.5,336.333333333333,0,0,1197,0,2698,2165,3318,2584,1526,964,360,316
"Metridia pacifica 97d5948bd4b4362b9bfcff8f47c1af49259ea0d2",300,166,659.5,102,50.5,0,173.666666666667,703.333333333333,43.3333333333333,55.3333333333333,14.5,429.333333333333,171,0,1283.66666666667,122,865,726,1091,1177,688,692,360,561
" a32d276e30f76e771318e8c516046bc05f72db69",136.333333333333,106.666666666667,588,0,86,26,0,343.666666666667,172,0,0,1504.33333333333,217,0,1217.66666666667,211.333333333333,366,284,408,505,239,222,151,158
"Metridia pacifica b0c15e6164ee940205efe0f1e1a0a0c19435ec9f",12848,29433.3333333333,4299.5,11498.5,1059.5,19,16583.3333333333,11819.6666666667,59.3333333333333,320.333333333333,167,2678,1887.66666666667,0,6599.66666666667,228.666666666667,59765,48846,70217,66250,34323,30243,13661,21395
" b308f1ff1c8a4490fc47c87f05295b7e5a4a6610",43,5,54,0,0,0,0,192,0,0,0,57,17,0,68,0,64,75,94,123,46,26,32,28
" b39500169f19f6f7dc74cde23a266fe3bd9d8079",69.6666666666667,29.6666666666667,19,50,35.5,1.5,6,68.6666666666667,85.3333333333333,0,17,0,0,0,9.33333333333333,0,230,193,257,282,181,199,89,154
" bb43537ab7d266d059e40deb9e1f8536790adc35",209.666666666667,50.3333333333333,2330,19,33.5,0,56.3333333333333,368,381.666666666667,109,32.5,177.666666666667,172.666666666667,63,436.333333333333,329,568,500,619,522,385,280,104,108
"Metridia pacifica c106e1cd25bef13848fb5696229c97e7ec724fc1",44,202,124,0,0,0,57,455,0,0,0,256,194,0,654,0,206,86,201,229,130,103,62,127
" c621ead91f54c394ee29a0669ebe477d85be4b7d",704.333333333333,0,0,340,0,0,733.333333333333,105,0,0,0,72.3333333333333,0,0,352.333333333333,0,982,851,1214,1364,1004,779,472,696
"Metridia pacifica e199318c40876066960330bd9ea208fb7639a760",829,165.666666666667,184,215.5,603,0,364.333333333333,772.333333333333,0,200.333333333333,39.5,0,14.6666666666667,0,16,4.66666666666667,1500,1164,1819,1983,1065,987,513,807
"Neocalanus gracilis f439140f389fcafab48955b2d982492c4de5820f",0,0,0,0,0,0,0,0,0,0,0,345,318,0,32.6666666666667,367.333333333333,63,34,72,94,83,63,55,37
"Clausocalanus furcatus f8a30baa160074c5d81f39bbfa5ce59111caa57a",69.6666666666667,0,0,86.5,0,0,121.333333333333,191,0,0,0,338,99.6666666666667,0,959.666666666667,22,365,286,201,395,177,212,166,254
"NA Other",4352,546.666666666667,2656.5,339,125.5,4367,2709.33333333333,4398.33333333333,3530.66666666667,3239.83333333333,4819.5,7734.16666666667,8165.83333333333,464,12775.3333333333,4933.16666666667,7721,6476,11036,11521,6304,3939,1138,3340
