"","size_fraction","sample_id","object_annotation_category","dryweight_C_mg_sum_taxa","dryweight_C_ug_sum_taxa","dryweight_C_mg_sum_sample","dryweight_C_ug_sum_sample","sample_conc","sample_tot_vol","acq_sub_part","potemp2","density2","oxy_sat","Sal2","NO2","nitracline_depth","NO3","fluorescence","hypoxia_depth","chl_max_depth","PO4","SIL","NH4","beam_depth","chl_max","mixedlayerdepths","intergrated_chl","day_night_0_1","distance_from_shore","PAR_1_depth_adj","max_size","cycle","Sample_ID_short","PC1","Longitude","Latitude","log10_dryweight_C_ug_m2_taxa","dryweight_C_mg_m2_taxa","log10_dryweight_C_ug_m2_sample","dryweight_C_mg_m2_sample","biomass_prop_taxa","biomass_taxa_clr"
"17","0.2-0.5","c2_t8_h18","Chaetognatha",0,0,0.968507609663761,968.50760966376,57.086402640264,303,86,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,-Inf,0,6.87575633998062,55.2886153654251,0,-6.66063075211625
"18","0.2-0.5","c2_t8_h18","Copepoda<Maxillopoda",0.109841487379408,109.841487379408,0.968507609663761,968.50760966376,94.8623942394239,303,142.909090909091,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,4.69903830269549,10.4198264796301,6.87575633998062,91.8749506918058,0.113413138196758,7.19600605612229
"19","0.2-0.5","c2_t8_h18","Harpacticoida",0.000860651376676715,0.860651376676715,0.968507609663761,968.50760966376,6.63795379537954,303,10,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,-0.150065761688007,0.00571296407230982,6.87575633998062,6.42890876342152,0.000888636669540996,-0.31097370049308
"20","0.2-0.5","c2_t8_h18","Oithonidae",0.241229666210974,241.229666210974,0.968507609663761,968.50760966376,80.9616235494517,303,121.967741935484,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,5.48574945153104,19.5303454247327,6.87575633998062,78.4119484983767,0.2490735888949,7.82426465648801
"21","0.2-0.5","c2_t8_h18","Ostracoda",0.010239379856758,10.239379856758,0.968507609663761,968.50760966376,63.7243564356436,303,96,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,2.326241056914,0.652497891671997,6.87575633998062,61.7175241288466,0.0105723277283416,4.42536266751202
"22","0.2-0.5","c2_t8_h18","Poecilostomatoida",0.0379671879228284,37.9671879228284,0.968507609663761,968.50760966376,52.6458404461136,303,79.3103448275862,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,0.5,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,3.63672231100145,1.99881451757283,6.87575633998062,50.9878970892052,0.0392017445645156,5.54485397941276
"23","0.2-0.5","c2_t9_h19","Calanoida",0.709237198231366,709.237198231366,0.870188939419404,870.188939419404,338.66791796283,252,392.8391959799,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5,"2","C2-T9-H19",2.811058313,-123.226,36.46062,6.5641900237994,240.195885266808,6.7687103598167,294.705076347453,0.81503816711871,7.68076232458211
"24","0.2-0.5","c2_t9_h19","Chaetognatha",0,0,0.870188939419404,870.188939419404,17.2420634920635,252,20,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5,"2","C2-T9-H19",2.811058313,-123.226,36.46062,-Inf,0,6.7687103598167,15.0038529435608,0,-9.31361796107369
"25","0.2-0.5","c2_t9_h19","Copepoda<Maxillopoda",0.0359796717885964,35.9796717885964,0.870188939419404,870.188939419404,330.597826086957,252,383.478260869565,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5,"2","C2-T9-H19",2.811058313,-123.226,36.46062,3.58295410642954,11.8948012766322,6.7687103598167,287.682571656969,0.0413469651919527,4.67540978175276
"26","0.2-0.5","c2_t9_h19","Harpacticoida",0.00452852393620032,4.52852393620032,0.870188939419404,870.188939419404,262.941468253968,252,305,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5,"2","C2-T9-H19",2.811058313,-123.226,36.46062,1.51039604449855,1.19073673280775,6.7687103598167,228.808757389302,0.00520406974975087,2.37388812078119
"27","0.2-0.5","c2_t9_h19","Oithonidae",0.0860798623351613,86.0798623351613,0.870188939419404,870.188939419404,344.84126984127,252,400,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5,"2","C2-T9-H19",2.811058313,-123.226,36.46062,4.45527549714595,29.6838890354187,6.7687103598167,300.077058871215,0.0989208876782487,5.58991228268543
"28","0.2-0.5","c2_t9_h19","Ostracoda",0.0127803355867483,12.7803355867483,0.870188939419404,870.188939419404,279.321428571429,252,324,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5,"2","C2-T9-H19",2.811058313,-123.226,36.46062,2.54790770734863,3.56982159371279,6.7687103598167,243.062417685684,0.0146868513351542,3.47182592594595
"29","0.2-0.5","c2_t9_h19","Poecilostomatoida",0.0215833475413325,21.5833475413325,0.870188939419404,870.188939419404,325.570728291317,252,377.647058823529,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,0.5,"2","C2-T9-H19",2.811058313,-123.226,36.46062,3.071922070197,7.02690617799622,6.7687103598167,283.308046757824,0.0248030589261834,4.14905544747365
"30","0.2-0.5","c3_t6_h25","Calanoida",0.260538899368203,260.538899368203,0.480568820668438,480.568820668438,57.6751514069018,290.23,95.1569506726457,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.5,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,5.56275217583508,15.0266204684487,6.17497044535189,27.7168794934884,0.542146906255407,7.30633845889026
"31","0.2-0.5","c3_t6_h25","Chaetognatha",0,0,0.480568820668438,480.568820668438,60.6105502532474,290.23,100,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.5,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,-Inf,0,6.17497044535189,29.1275406552682,0,-6.91641099764855
"32","0.2-0.5","c3_t6_h25","Copepoda<Maxillopoda",0.07516833446438,75.16833446438,0.480568820668438,480.568820668438,21.6466250904455,290.23,35.7142857142857,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.5,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,4.31973005802466,1.62714075482365,6.17497044535189,10.4026930911672,0.156415337890265,5.08334494942444
"33","0.2-0.5","c3_t6_h25","Eucalanidae",0.00288317679114939,2.88317679114939,0.480568820668438,480.568820668438,60.6105502532474,290.23,100,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.5,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,1.05889273871489,0.174750931788957,6.17497044535189,29.1275406552682,0.00599950863882323,2.8521781242291
"34","0.2-0.5","c3_t6_h25","Oithonidae",0.0773293590924594,77.3293590924594,0.480568820668438,480.568820668438,51.3371360645006,290.23,84.7,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.5,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,4.34807369063185,3.96986782951021,6.17497044535189,24.6710269350122,0.160912143623674,5.97524978812415
"35","0.2-0.5","c3_t6_h25","Ostracoda",0.0179170530445663,17.9170530445663,0.480568820668438,480.568820668438,53.7918633497571,290.23,88.75,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.5,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,2.88575294338525,0.963791669003659,6.17497044535189,25.8506923315505,0.037283011868404,4.55964472423515
"36","0.2-0.5","c3_t6_h25","Poecilostomatoida",0.0335012043164731,33.5012043164731,0.480568820668438,480.568820668438,45.9241476918836,290.23,75.7692307692308,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.5,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,3.51158138793031,1.53851425488568,6.17497044535189,22.0697134964917,0.069711564453714,5.02733814825893
"37","0.2-0.5","c3_t6_h25","Pteropoda",0.0132307935912067,13.2307935912068,0.480568820668438,480.568820668438,33.3358026392861,290.23,55,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,0.5,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,2.58254696054608,0.441059123917599,6.17497044535189,16.0201473603975,0.0275315272697127,3.77796079508072
"38","0.2-0.5","c3_t7_h26","Calanoida",0.291858904028517,291.858904028517,0.472962624843743,472.962624843743,74.5377775982115,280.2,96.9433962264151,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,0.5,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,5.67627048010515,21.7545140785354,6.15901636812623,35.2535829428693,0.617086612551977,7.48761840634879
"39","0.2-0.5","c3_t7_h26","Cladocera",0,0,0.472962624843743,472.962624843743,76.8879371877231,280.2,100,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,0.5,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,-Inf,0,6.15901636812623,36.3651205911264,0,-7.1051287981372
"40","0.2-0.5","c3_t7_h26","Copepoda<Maxillopoda",0.0568703707228497,56.8703707228497,0.472962624843743,472.962624843743,74.3250059481323,280.2,96.6666666666667,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,0.5,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,4.04077448007449,4.22689064224829,6.15901636812623,35.1529499047555,0.120242843166811,5.84926568264067
"41","0.2-0.5","c3_t7_h26","Harpacticoida",0.00121607501827553,1.21607501827553,0.472962624843743,472.962624843743,76.8879371877231,280.2,100,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,0.5,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,0.19562847430186,0.0935014996207282,6.15901636812623,36.3651205911264,0.00257118629337212,2.03812580717884
"42","0.2-0.5","c3_t7_h26","Oithonidae",0.0437659575989706,43.7659575989706,0.472962624843743,472.962624843743,73.5927398796778,280.2,95.7142857142857,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,0.5,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,3.77885629141962,3.22085673316605,6.15901636812623,34.8066154229352,0.0925357635044205,5.57744716195982
"43","0.2-0.5","c3_t7_h26","Ostracoda",0.0246088127730493,24.6088127730493,0.472962624843743,472.962624843743,76.8879371877231,280.2,100,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,0.5,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,3.20310462159157,1.89212085075865,6.15901636812623,36.3651205911264,0.0520311996770982,5.0455002950917
"44","0.2-0.5","c3_t7_h26","Poecilostomatoida",0.0471534045894513,47.1534045894513,0.472962624843743,472.962624843743,75.0669070964349,280.2,97.6315789473684,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,0.5,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,3.85340621409619,3.53966024159694,6.15901636812623,35.5038414192313,0.0996979509850905,5.67183023754853
"45","0.2-0.5","c3_t7_h26","Pteropoda",0.0074891001126298,7.4891001126298,0.472962624843743,472.962624843743,76.8879371877231,280.2,100,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,0.5,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,2.01344864513486,0.57582145905245,6.15901636812623,36.3651205911264,0.0158344438212301,3.85585639991763
"46","0.2-0.5","ct1_t1_h28","Calanoida",1.35002273475463,1350.02273475463,2.54113763333511,2541.13763333511,1.40588957681193,279,70.2874493927125,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,0.5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,7.20787671184966,1.89798289125068,7.84036714688089,3.57255891195038,0.531267065996263,7.44687204816856
"47","0.2-0.5","ct1_t1_h28","Chaetognatha",0,0,2.54113763333511,2541.13763333511,1.64683134980165,279,82.3333333333333,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,0.5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,-Inf,0,7.84036714688089,4.18482511873703,0,-4.70685037159287
"48","0.2-0.5","ct1_t1_h28","Copepoda<Maxillopoda",0.458273196295379,458.273196295379,2.54113763333511,2541.13763333511,1.33353335333533,279,66.67,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,0.5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,6.12746550474122,0.611122592199479,7.84036714688089,3.38869178946799,0.180341745477957,6.31363375853366
"49","0.2-0.5","ct1_t1_h28","Eucalanidae",0.000948950593600219,0.948950593600219,2.54113763333511,2541.13763333511,0.8000800080008,279,40,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,0.5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,-0.0523985432656885,0.000759236398520027,7.84036714688089,2.03311341800989,0.000373435339019701,-0.364037132023008
"50","0.2-0.5","ct1_t1_h28","Harpacticoida",0.00125770208795359,1.25770208795359,2.54113763333511,2541.13763333511,0.8000800080008,279,40,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,0.5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,0.229286316206025,0.00100626229659253,7.84036714688089,2.03311341800989,0.00049493662659386,-0.0855487038300471
"51","0.2-0.5","ct1_t1_h28","Oithonidae",0.420283131224485,420.283131224485,2.54113763333511,2541.13763333511,1.23686934254247,279,61.8372827804107,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,0.5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,6.04092860612233,0.51983532019932,7.84036714688089,3.14305523385313,0.165391722868975,6.1518511205652
"52","0.2-0.5","ct1_t1_h28","Ostracoda",0.0598825005719643,59.8825005719643,2.54113763333511,2541.13763333511,1.16297344020116,279,58.1428571428571,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,0.5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,4.09238431839836,0.0696417576980254,7.84036714688089,2.95527557546438,0.0235652330619226,4.14182775045517
