Hash,Kingdom,Phylum,Subphylum,Class,Subclass,Superorder,Order,Family,Genus,Species
0a19cb3e89d835f71f2511817816e72a13f12504,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
248c3d8841ec5d3f7fef663348c830c67d885b6a,Animalia,Chordata,Tunicata,Thaliacea,Subclass,Superorder,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
4047a9b6d9c19a9652943c6792c437c6c6204360,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
bd215e9a545800058c1d37bdb961dda33ef0a4f2,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
e1915f8d623e9360aa5ce6d088b4ed9bb305b964,Animalia,Chordata,Tunicata,Thaliacea,Subclass,Superorder,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
08aba8adcabf8153dbb260a8c1e09d9e6383bb87,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
38c51aa2f86cc14ce0f051e24b4841b9f19ecd3a,Animalia,Chordata,Tunicata,Thaliacea,Subclass,Superorder,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
73bd7d5ad6cda9482d2f2531e0f296172e268d8b,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
bcee65e78d97be5d4e11196b1ecf02487533304c,Animalia,Platyhelminthes,Rhabditophora,Class,Subclass,Superorder,Polycladida,Notocomplanidae,Notocomplana,Notocomplana humilis
1dab2f7ad7e9b19ff2bdc48b66844f7080e59bdc,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
20b5ec6872a4b64c8d4204a9c4e735609e284ab6,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
23f0bc9737e8f27bb71ae8a965978f4bf4ea9422,Animalia,Chordata,Tunicata,Thaliacea,Subclass,Superorder,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
3eb5edaf071a836479ebc8aeeb20b961ef4b4d79,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
9d1ba6c6f13dba89b24a4f2a894ef64fc9599a40,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
ae87fd2b2c9130d4d9c056b3621e0a28643023dc,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
547810e355dc23e3a9be7a5c274387d40a50e69b,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
a43b54536e3b79b6b142aa805f59e6521e4a70b6,Animalia,Chordata,Tunicata,Thaliacea,Subclass,Superorder,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
b80083d758df486b163e38804a7bb581e7bc732a,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
0e9007b4e89534a63556b4c2781104595c9b3b9e,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
5669f152a6689a5ce77d23a11e48af62c022c1ca,Animalia,Chordata,Tunicata,Thaliacea,Subclass,Superorder,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
48bee2286ca00da1335d3a0911ea483084f2c993,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
d4b24a2b37f6b027ab63d1a04528ee4d93a50b78,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
3b8786430de3d7fc1d7a51dafe547c49adadb841,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
b0b36652ce5c064f95e98804521283ea149e25b4,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
38276d45c5eaaaa75353c87992ba7babaf99a2d4,Animalia,Chordata,Tunicata,Thaliacea,Subclass,Superorder,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
902c6d61e7b4a0d8f8c5fb02ffa66027a77a304b,Animalia,Chordata,Tunicata,Thaliacea,Subclass,Superorder,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
267e64ae0cec348978cbe162c3b2f63da1d6f873,Animalia,Chordata,Tunicata,Thaliacea,Subclass,Superorder,Doliolida,Doliolidae,Doliolum,Doliolum nationalis
84f21c3e0c26eb532e1a16d406d544301f25331f,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
b53b1c6a7b31c3362af3e450eec31c6df0be8d65,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
0e1296575253520f52538d918bbc59785b8edd79,Animalia,Ctenophora,Subphylum,Tentaculata,Subclass,Superorder,Cydippida,Mertensiidae,Charistephane,Charistephane fugiens
0c504186478970db981e4601648ad5ff105aaa9b,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
718a1226c78f3c2a810fb9b72cd3dfa8926e22a3,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
e8d86c849cbebe738c4b6601befc1b5ffcf339d1,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
f4364ff469e8ef589e24bf87eac97294c7d1077e,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
73877fc714ae4ab1e85b6af55996f14eaf8a8b1c,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
9dc37e40eb0aab9b0e40c435eb05ab8096aed948,Animalia,Chaetognatha,Subphylum,Sagittoidea,Subclass,Superorder,Aphragmophora,Sagittidae,Genus,Species
383b2bec07d5377267456766a56e3d0eba31dbf0,Animalia,Mollusca,Subphylum,Gastropoda,Heterobranchia,Superorder,Pteropoda,Cliidae,Clio,Clio pyramidata
3ea7b6a928bcc8605fdb9fa4ca86d0778af85005,Animalia,Mollusca,Subphylum,Gastropoda,Heterobranchia,Superorder,Pteropoda,Clionidae,Clione,Clione limacina
8744dd2858c0eda66f6daf9c90a1b92a6ab6c820,Animalia,Mollusca,Subphylum,Gastropoda,Heterobranchia,Superorder,Pteropoda,Clionidae,Clione,Clione limacina
b4c02705d349680ce498e83af332b7b34e5eb2b7,Animalia,Mollusca,Subphylum,Gastropoda,Heterobranchia,Superorder,Pteropoda,Limacinidae,Heliconoides,Heliconoides inflatus
aee6835ccbeebe3986ac2cb915d482c9af7f2a24,Animalia,Mollusca,Subphylum,Gastropoda,Heterobranchia,Superorder,Pteropoda,Limacinidae,Heliconoides,Heliconoides inflatus
1dfabd1fb36e925dabf57e6ced258ec2420af3da,Animalia,Mollusca,Subphylum,Gastropoda,Heterobranchia,Superorder,Pteropoda,Limacinidae,Heliconoides,Heliconoides inflatus
5f3e3071e3b0c2ff02c5aaa392f3329050db3e87,Animalia,Mollusca,Subphylum,Gastropoda,Heterobranchia,Superorder,Pteropoda,Cliidae,Clio,Clio pyramidata
79945e3b03896c55e4bffaf684e998959fab4cd9,Animalia,Mollusca,Subphylum,Gastropoda,Heterobranchia,Superorder,Pteropoda,Limacinidae,Heliconoides,Heliconoides inflatus
524966e7b0b3d9eb0151d624f36fa2c958a987ba,Animalia,Mollusca,Subphylum,Gastropoda,Heterobranchia,Superorder,Pteropoda,Cliidae,Clio,Clio pyramidata
b550711c77469fe6572432d2e66bfda1032a85d3,Animalia,Mollusca,Subphylum,Gastropoda,Heterobranchia,Superorder,Pteropoda,Cliidae,Clio,Clio pyramidata
8f00bd43b9cef841b113073b7bdea53114cd7384,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
a166094ea1387c31c78c02aa1b82a199d945f714,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
c3db1f4fb87f52065f108aea13bad38e2d74d8fa,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Prayidae,Rosacea,Rosacea cymbiformis
d87c7627d43106f0ae596b8a668b5e65bafb5c61,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Muggiaea,Muggiaea atlantica
f40453b90e9aef99a029ca83726434c386cccf18,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,,,
1893923acab4675b218cf79879e1f49ccdbef020,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Muggiaea,Muggiaea atlantica
1ce309e4db3f0f96de86e79c08e629ad39e50c68,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Prayidae,Rosacea,Rosacea cymbiformis
11f6090e3579ac3eeba08e00d2172af4bd4b49dd,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Prayidae,Rosacea,Rosacea cymbiformis
ad3bf920c93219da8eeb9537fa21fdecc5b77c7e,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Prayidae,Rosacea,Rosacea cymbiformis
b09865c65f15f4a8a2798227db18b6d3169aba27,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
dead83d7b96937d3991764b4bf7bd383a5eb85e8,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
32592cd656c827346423093e2e390b39b13dfab3,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Prayidae,Rosacea,Rosacea cymbiformis
cad275fc1dd0d22b4fc6d288376195891e7a71bf,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
b3bb66eeb9c585969ae1072453c9b031cea4ab04,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
0c41d92acd534960061dfba1beb00f1917f3afc4,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Marrus,Marrus orthocanna
34ac2f188bf73d6c52b9933ba762c46b06845238,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Marrus,Marrus orthocanna
67699186f2500d9fed3b98c89a41824904dec096,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Muggiaea,Muggiaea atlantica
25c208e03a668c3e073411c7916d4c236fea3fee,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia achilles
9e4a0a507e7d39594f4a64ca2eaa4d4b3a1da8a6,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
77756dfc3d52fb50f465d3eb71ce2a988abaef32,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Muggiaea,Muggiaea atlantica
33594baacc4265a006d66d6e3a39f7b2839206f7,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,,,
74b499078650335d6f86c14b17614f76b1854018,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
c5b01390b1e8ada15aebcf953c700241b226a2bf,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
ccefe43aecdd47a1cd28576927eb17bca2811aad,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Apolemiidae,Apolemia,
d0093c1430ae1e70f99225c912d2074dc91a78da,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia achilles
2c86aab8576add61a70d6244c47dd27c038aa25e,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
690ca69afbb4baf2cee0a52ca617accd4a42b135,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
c41035a8edd34d3016b2d5156e4ea66ce9d1ee69,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
efe71a0ae12f280372080cd9f414e32e797e47dc,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
0aa71d40aa0334ecc871b823e308854f38365c4f,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
05342acd340f0ded4b3e856ecf2704e43adbbbc8,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
0cd1b1355ebccd553a521a029e63ba156e14299f,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
9bfcd3bcbf319875ed6387b7def9905d8826323f,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,,,
444861f2c16028e9b144f3a03d3a0b0b4f3aa41c,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
5234d5ef2703aee023a50893482e24b0caf9e087,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
64aaa82f23b15e0240081b1f2c889b5d9ed024e2,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
b9263b8d429df6ce8564d9619b66cf180034b707,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
06031612cc42723c4895af0e40c9183cc4837fa9,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
154a8c08ffa3c2c8efca0eb1b351813f905a95f9,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
20b4811da07af12840699b671807210695555c66,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Muggiaea,Muggiaea atlantica
77c99fbeec352fd1c15297052886f37416a13416,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
c60b8fbbe5c4e8b61f66338c6bc66c1bd11451ea,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
df8d9090d1b9dd6f893247a4ecda3c1a79d744c6,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia cossack
01ff6dedcf9317a7d3435b75319b72b0d7427f3a,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
26cc1703226eed42ddaaf9d41b349e850695ec62,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
b76a4090bd1c08e233ad41b6bd3e16401035bdd2,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
c181283a43d94199ab03ed7b5207991dbcd1e1dd,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
8b71244075a4088de8b180703aee18002fcc3d26,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Agalma,Agalma elegans
896cd6535a2fecee8816aca4852874d41d8bdefd,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Muggiaea,Muggiaea atlantica
ca11cb5657ec52398b2fb4bc6f1fd8ad5136e813,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Muggiaea,Muggiaea atlantica
d2dec109e26e1901255a39c925ef1a2b616a6258,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Prayidae,Amphicaryon,Amphicaryon acaule
5060f9cee2cf5a5fd9d18aba522442aac691878c,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
b7b8fc214fb3405a729d10d346e60b8fd1b38caa,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia achilles
c1e32db39466e4d2698d9d37631a05d16e2086b6,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
dca3902120d26574195c2da0010ff3059418cba8,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
d6c85a1d78044a18dd1b3c66030917c9f0e81e59,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Muggiaea,Muggiaea atlantica
7b32b5bd6712b6febbd66c6bb0a1b40702a91222,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
466e08c58d0db760c88a6d71a588bd0dc743fcb6,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Diphyidae,Lensia,Lensia campanella
c9da9a307b552b62179afb0416b46c3fa4cd8901,Animalia,Cnidaria,Subphylum,Hydrozoa,Hydroidolina,Superorder,Siphonophorae,Agalmatidae,Nanomia,Nanomia bijuga
c25abcc3358f7552ed039ccacfb4b28467b2ca9b,Animalia,Cnidaria,Subphylum,Hydrozoa,Trachylinae,Superorder,Trachymedusae,Rhopalonematidae,Pantachogon,Pantachogon haeckeli
44f408ac8f2456bfef156a8140f247445a7f50b4,Animalia,Cnidaria,Subphylum,Hydrozoa,Trachylinae,Superorder,Trachymedusae,Halicreatidae,Botrynema,Botrynema brucei
66ad6b2a1f44ed526859c089642d38692ed8eba9,Animalia,Cnidaria,Subphylum,Hydrozoa,Trachylinae,Superorder,Trachymedusae,Halicreatidae,Botrynema,Botrynema brucei
a15fa1e1831ffac3265b6f2979da3a880f156124,Animalia,Cnidaria,Subphylum,Scyphozoa,Discomedusae,Superorder,Semaeostomeae,Phacellophoridae,Phacellophora,Phacellophora camtschatica
dd05f6ca0253c97a9721ef0a9e9ac90286aeb4e2,Animalia,Cnidaria,Subphylum,Scyphozoa,Discomedusae,Superorder,Semaeostomeae,Phacellophoridae,Phacellophora,Phacellophora camtschatica
66f6c47c5979aac96f1df5faa6d01a8bff3086f2,Animalia,Annelida,Subphylum,Polychaeta,Errantia,Superorder,Phyllodocida,Tomopteridae,Genus,Species
07328927fc0c18593bb6c76c71003e458b43b9c2,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,Clausocalanidae,Ctenocalanus,Ctenocalanus vanus
074b9b1b350f6ab258f9ed33b6b0d14b27559959,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,Eucalanidae,Eucalanus,Eucalanus californicus
091ecde18aa0935058fd59a1af0937bcb58d4a2e,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,,,
0c5fa17f7ecf209f6fd088aa6fd53eb627bafcf0,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,Calanidae,Calanus,Calanus pacificus
0e1202671cb104c88b6ea9e2776af00a3a3dc0a6,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,Eucalanidae,Eucalanus,Eucalanus californicus
13f9c2153fbb76323f3d8656aa435b7ddf79b35b,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Gymnoplea,Calanoida,Acartiidae,Acartia,Acartia Acartiura margalefi
