"","Sample_ID_short","Cycle","Tow","Haul","Date","size_fraction","max_size","biomass_dry","Volume_Filtered_m3","depth","biomass_mg_m2"
"36","CT2-T2-H37","T2",2,"37","8/10/2021",0.2,0.5,1032.26666666667,252,210,860.222222222222
"37","CT2-T3-H38","T2",3,"38","8/10/2021",0.2,0.5,604.533333333333,301,210,421.767441860465
"38","CT2-T4-H39","T2",4,"39","8/10/2021",0.2,0.5,NA,308,172.9296949,NA
"39","CT2-T5-H40","T2",5,"40","8/10/2021",0.2,0.5,1269.6,249,210,1070.74698795181
"40","CT2-T6-H41","T2",6,"41","8/11/2021",0.2,0.5,863.733333333333,246,210,737.333333333333
"41","CT2-T7-H42","T2",7,"42","8/11/2021",0.2,0.5,1471.73333333333,252,210,1226.44444444444
"42","CT2-T8-H43","T2",8,"43","8/11/2021",0.2,0.5,NA,270,194.549872003685,NA
"43","C1-T1-H3","1",1,"3","7/22/2021",0.5,1,953.866666666667,269,210,744.654275092937
"44","C1-T2-H4","1",2,"4","7/22/2021",0.5,1,676.8,312,210,455.538461538461
"45","C1-T3-H5","1",3,"5","7/22/2021",0.5,1,NA,335,210,NA
"46","C1-T4-H6","1",4,"6","7/23/2021",0.5,1,1429.86666666667,376,210,798.595744680851
"47","C1-T5-H7","1",5,"7","7/23/2021",0.5,1,592.8,269,210,462.780669144981
"48","C1-T6-H8","1",6,"8","7/24/2021",0.5,1,430.133333333333,308,210,293.272727272727
"49","C1-T7-H9","1",7,"9","7/25/2021",0.5,1,1014.66666666667,282,203.45,755.602836879433
"50","C1-T8-H10","1",8,"10","7/25/2021",0.5,1,622.666666666667,286,210,457.202797202797
"51","C1-T9-H11","1",9,"11","7/25/2021",0.5,1,1494.4,294,210,1067.42857142857
"52","C2-T1-H12","2",1,"12","7/26/2021",0.5,1,470.133333333333,368,210,268.282608695652
"53","C2-T2-H13","2",2,"13","7/27/2021",0.5,1,816.533333333333,305,210,562.203278688525
"54","C2-T3-H14","2",3,"14","7/28/2021",0.5,1,604.8,277,210,458.512635379061
"55","C2-T4-H15a","2",4,"15a","7/28/2021",0.5,1,793.066666666667,268,210,621.432835820896
"56","C2-T5-H15b","2",5,"15b","7/29/2021",0.5,1,533.6,281,210,398.775800711744
"57","C2-T6-H16","2",6,"16","7/29/2021",0.5,1,985.333333333333,300,210,689.733333333333
"58","C2-T7-H17","2",7,"17","7/30/2021",0.5,1,663.2,280,210,497.4
"59","C2-T8-H18","2",8,"18","7/30/2021",0.5,1,NA,303,201.13,NA
"60","C2-T9-H19","2",9,"19","7/31/2021",0.5,1,543.466666666667,252,210,452.888888888889
"61","C3-T1-H20","3",1,"20","8/3/2021",0.5,1,102.4,296,210,72.6486486486486
"62","C3-T2-H21","3",2,"21","8/3/2021",0.5,1,203.2,291,210,146.639175257732
"63","C3-T3-H22","3",3,"22","8/4/2021",0.5,1,30.6666666666667,278,210,23.1654676258993
"64","C3-T4-H23","3",4,"23","8/4/2021",0.5,1,152.533333333333,301,210,106.418604651163
"65","C3-T5-H24","3",5,"24","8/5/2021",0.5,1,142.4,299,210,100.013377926421
"66","C3-T6-H25","3",6,"25","8/5/2021",0.5,1,143.466666666667,290,210,103.889655172414
"67","C3-T7-H26","3",7,"26","8/6/2021",0.5,1,137.6,280,215.44,103.2
"68","C3-T8-H27","3",8,"27","8/6/2021",0.5,1,140.8,259,210,114.162162162162
"69","CT1-T1-H28","T1",1,"28","8/7/2021",0.5,1,658.133333333333,279,200,495.36917562724
"70","CT1-T2-H29","T1",2,"29","8/8/2021",0.5,1,202.933333333333,278,200,153.294964028777
"71","CT1-T3-H30","T1",3,"30","8/8/2021",0.5,1,98.4,301,200,68.6511627906977
"72","CT1-T4-H31","T1",4,"31","8/9/2021",0.5,1,NA,328,180.96,NA
"73","CT1-T5-H32","T1",5,"32","8/9/2021",0.5,1,NA,265,212.871221,NA
"74","CT1-T6-H33","T1",6,"33","8/9/2021",0.5,1,365.866666666667,297,208.021,258.693602693603
"75","CT1-T7-H34","T1",7,"34","8/9/2021",0.5,1,1329.6,331,194.55,843.552870090634
"76","CT1-T8-H35","T1",8,"35","8/10/2021",0.5,1,NA,264,192.5687525,NA
"77","CT2-T1-H36","T2",1,"36","8/10/2021",0.5,1,NA,273,225.982946,NA
"78","CT2-T2-H37","T2",2,"37","8/10/2021",0.5,1,1017.6,252,210,848
"79","CT2-T3-H38","T2",3,"38","8/10/2021",0.5,1,400,301,210,279.06976744186
"80","CT2-T4-H39","T2",4,"39","8/10/2021",0.5,1,NA,308,172.9296949,NA
"81","CT2-T5-H40","T2",5,"40","8/10/2021",0.5,1,1377.86666666667,249,210,1162.0562248996
"82","CT2-T6-H41","T2",6,"41","8/11/2021",0.5,1,375.733333333333,246,210,320.747967479675
"83","CT2-T7-H42","T2",7,"42","8/11/2021",0.5,1,1475.2,252,210,1229.33333333333
"84","CT2-T8-H43","T2",8,"43","8/11/2021",0.5,1,NA,270,194.549872003685,NA
"85","C1-T1-H3","1",1,"3","7/22/2021",1,2,330.666666666667,269,210,258.14126394052
"86","C1-T2-H4","1",2,"4","7/22/2021",1,2,261.866666666667,312,210,176.25641025641
"87","C1-T3-H5","1",3,"5","7/22/2021",1,2,0,335,210,0
"88","C1-T4-H6","1",4,"6","7/23/2021",1,2,434.4,376,210,242.617021276596
"89","C1-T5-H7","1",5,"7","7/23/2021",1,2,425.6,269,210,332.252788104089
"90","C1-T6-H8","1",6,"8","7/24/2021",1,2,853.333333333333,308,210,581.818181818182
"91","C1-T7-H9","1",7,"9","7/25/2021",1,2,876.266666666667,282,203.45,652.539007092199
"92","C1-T8-H10","1",8,"10","7/25/2021",1,2,929.6,286,210,682.573426573427
"93","C1-T9-H11","1",9,"11","7/25/2021",1,2,2256,294,210,1611.42857142857
"94","C2-T1-H12","2",1,"12","7/26/2021",1,2,234.4,368,210,133.760869565217
"95","C2-T2-H13","2",2,"13","7/27/2021",1,2,773.066666666667,305,210,532.275409836065
"96","C2-T3-H14","2",3,"14","7/28/2021",1,2,485.066666666667,277,210,367.740072202166
"97","C2-T4-H15a","2",4,"15a","7/28/2021",1,2,465.6,268,210,364.835820895522
"98","C2-T5-H15b","2",5,"15b","7/29/2021",1,2,270.666666666667,281,210,202.277580071174
"99","C2-T6-H16","2",6,"16","7/29/2021",1,2,1216,300,210,851.2
"100","C2-T7-H17","2",7,"17","7/30/2021",1,2,480.8,280,210,360.6
"101","C2-T8-H18","2",8,"18","7/30/2021",1,2,NA,303,201.13,NA
"102","C2-T9-H19","2",9,"19","7/31/2021",1,2,385.6,252,210,321.333333333333
"103","C3-T1-H20","3",1,"20","8/3/2021",1,2,52.2666666666667,296,210,37.0810810810811
"104","C3-T2-H21","3",2,"21","8/3/2021",1,2,209.333333333333,291,210,151.06529209622
"105","C3-T3-H22","3",3,"22","8/4/2021",1,2,38.6666666666667,278,210,29.2086330935252
"106","C3-T4-H23","3",4,"23","8/4/2021",1,2,106.4,301,210,74.2325581395349
"107","C3-T5-H24","3",5,"24","8/5/2021",1,2,70.9333333333333,299,210,49.819397993311
"108","C3-T6-H25","3",6,"25","8/5/2021",1,2,206.933333333333,290,210,149.848275862069
"109","C3-T7-H26","3",7,"26","8/6/2021",1,2,67.7333333333333,280,215.44,50.8
"110","C3-T8-H27","3",8,"27","8/6/2021",1,2,157.333333333333,259,210,127.567567567568
"111","CT1-T1-H28","T1",1,"28","8/7/2021",1,2,880.533333333333,279,200,662.767025089606
"112","CT1-T2-H29","T1",2,"29","8/8/2021",1,2,212.266666666667,278,200,160.345323741007
"113","CT1-T3-H30","T1",3,"30","8/8/2021",1,2,61.6,301,200,42.9767441860465
"114","CT1-T4-H31","T1",4,"31","8/9/2021",1,2,NA,328,180.96,NA
"115","CT1-T5-H32","T1",5,"32","8/9/2021",1,2,NA,265,212.871221,NA
"116","CT1-T6-H33","T1",6,"33","8/9/2021",1,2,360.266666666667,297,208.021,254.734006734007
"117","CT1-T7-H34","T1",7,"34","8/9/2021",1,2,1223.2,331,194.55,776.04833836858
"118","CT1-T8-H35","T1",8,"35","8/10/2021",1,2,NA,264,192.5687525,NA
"119","CT2-T1-H36","T2",1,"36","8/10/2021",1,2,NA,273,225.982946,NA
"120","CT2-T2-H37","T2",2,"37","8/10/2021",1,2,800,252,210,666.666666666667
"121","CT2-T3-H38","T2",3,"38","8/10/2021",1,2,174.933333333333,301,210,122.046511627907
"122","CT2-T4-H39","T2",4,"39","8/10/2021",1,2,NA,308,172.9296949,NA
"123","CT2-T5-H40","T2",5,"40","8/10/2021",1,2,1004.26666666667,249,210,846.971887550201
"124","CT2-T6-H41","T2",6,"41","8/11/2021",1,2,333.066666666667,246,210,284.325203252033
"125","CT2-T7-H42","T2",7,"42","8/11/2021",1,2,507.733333333333,252,210,423.111111111111
"126","CT2-T8-H43","T2",8,"43","8/11/2021",1,2,NA,270,194.549872003685,NA
