"","Lambda.Parameter","Lambda.coord","Lambda.covariate","Lambda.p2.5","Lambda.p25","Lambda.p50","Lambda.mean","Lambda.p75","Lambda.p97.5","pool","pool_type","Size","primer","size_fraction","rank_pool"
"18","Lambda","clr_Rhincalanidae","cycle_num",-0.0500729490036511,-0.0139223423260369,0.00395526767586131,0.00371641121502619,0.0215358624184463,0.0570982528820848,"All_S2_18S","All","S2","18S",0.5,1
"19","Lambda","clr_Salpidae","cycle_num",-0.194568881111695,-0.152691464097969,-0.131598348367599,-0.132007338910299,-0.111232293353152,-0.069583583304485,"All_S2_18S","All","S2","18S",0.5,1
"20","Lambda","clr_other","cycle_num",-0.113052835282783,-0.0676760521345426,-0.0450391583932017,-0.0451760625496259,-0.0221251505699869,0.0207919976291757,"All_S2_18S","All","S2","18S",0.5,1
"21","Lambda","clr_Calanidae","cycle_num",0.0952509322221725,0.121962445950128,0.135163285883938,0.135305793870245,0.14858383109393,0.174822343949054,"All_S3_18S","All","S3","18S",1,1
"22","Lambda","clr_Clausocalanidae","cycle_num",-0.0773052999381068,-0.0429639739119521,-0.0255326429075446,-0.025360063102962,-0.00808726219480511,0.0270593970622137,"All_S3_18S","All","S3","18S",1,1
"23","Lambda","clr_Eucalanidae","cycle_num",-0.0576398220444067,-0.0239956275513394,-0.0066023753146474,-0.0068963760072856,0.0101744371675487,0.0431823196031779,"All_S3_18S","All","S3","18S",1,1
"24","Lambda","clr_Euphausiidae","cycle_num",0.0647605302205754,0.103516037433052,0.122910331265489,0.122882166696692,0.142438822117725,0.180719181835032,"All_S3_18S","All","S3","18S",1,1
"25","Lambda","clr_Metridinidae","cycle_num",0.0503681746407131,0.0940606803058857,0.116796184442168,0.116547957302599,0.139584543743086,0.182927497168078,"All_S3_18S","All","S3","18S",1,1
"26","Lambda","clr_Oithonidae","cycle_num",-0.24618497547336,-0.214310132233152,-0.199177957423418,-0.199421866424564,-0.183741381772959,-0.155851220704474,"All_S3_18S","All","S3","18S",1,1
"27","Lambda","clr_Paracalanidae","cycle_num",-0.115676908915579,-0.0924088192574928,-0.0806174061513462,-0.0807355780419558,-0.0689639524839493,-0.0468086424872417,"All_S3_18S","All","S3","18S",1,1
"28","Lambda","clr_Rhincalanidae","cycle_num",-0.0130857245600689,0.0138671735211977,0.0273594977826904,0.027605986075654,0.0412997082718519,0.0688453634373814,"All_S3_18S","All","S3","18S",1,1
"29","Lambda","clr_Salpidae","cycle_num",-0.180434844139006,-0.136617446585528,-0.114745791433766,-0.115323918814072,-0.0932204518364112,-0.0517998567213449,"All_S3_18S","All","S3","18S",1,1
"30","Lambda","clr_other","cycle_num",-0.0697612255481413,-0.0069747071354912,0.0256333674639564,0.0253958984456494,0.057843195524802,0.121542613358801,"All_S3_18S","All","S3","18S",1,1
"31","Lambda","clr_Calanidae","cycle_num",0.0143762261734084,0.0362257005629462,0.0470259673346053,0.0469857435514546,0.0576299031376987,0.0798391490259312,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"32","Lambda","clr_Clausocalanidae","cycle_num",-0.012565732687386,0.0123158788175999,0.0251658015979281,0.0250768157259925,0.0377036316812959,0.0627938226049515,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"33","Lambda","clr_Euphausiidae","cycle_num",-0.00100627198074045,0.0205144390591264,0.0313499441495578,0.0315047630601743,0.0421219797316046,0.0647905012495979,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"34","Lambda","clr_Metridinidae","cycle_num",0.0728542434356677,0.096329631729031,0.107327838800322,0.107403623565417,0.118653426074861,0.14194356755135,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"35","Lambda","clr_Oithonidae","cycle_num",-0.0884910305156649,-0.054795946988305,-0.0380902224110271,-0.0381267345976531,-0.0216580684967733,0.0117627131309526,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"36","Lambda","clr_Paracalanidae","cycle_num",-0.00963617448024884,0.013338198773285,0.0251433595273043,0.0250798588079794,0.0368592320246341,0.0609167785791382,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"37","Lambda","clr_Rhincalanidae","cycle_num",-0.16849599996429,-0.106614532196596,-0.076461116445082,-0.0767571253957524,-0.0469952643655829,0.0147790800722541,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"38","Lambda","clr_other","cycle_num",-0.192304127836141,-0.144532008388766,-0.120666706666939,-0.121166944717612,-0.0976057396069655,-0.0521380835837401,"A1_A3_S1_18S","A1","S1","18S",0.2,2
"39","Lambda","clr_Calanidae","cycle_num",0.0562908259099162,0.104959594292197,0.128181126724086,0.128728353469259,0.152965953541314,0.20115509539848,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"40","Lambda","clr_Clausocalanidae","cycle_num",-0.125992168774838,-0.0658623125868719,-0.0366208175032941,-0.0373277632557625,-0.00850396194908939,0.0494143158163176,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"41","Lambda","clr_Euphausiidae","cycle_num",-0.00121944165687903,0.0514543241120048,0.0759611257353119,0.0762086810875169,0.101388512251347,0.152028777337842,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"42","Lambda","clr_Metridinidae","cycle_num",0.0864737137430292,0.133782356207712,0.155856263969911,0.155602506091531,0.177600021789348,0.22342670999542,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"43","Lambda","clr_Oithonidae","cycle_num",-0.215777708783737,-0.165502239692305,-0.140765915267574,-0.142561817786787,-0.118578960706962,-0.0748182821796108,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"44","Lambda","clr_Paracalanidae","cycle_num",-0.213873682993755,-0.145870714760469,-0.114464133314908,-0.115692388382367,-0.084152682676507,-0.0262975592486596,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"45","Lambda","clr_Rhincalanidae","cycle_num",-0.0735755149932656,-0.032200254346353,-0.0104707474455891,-0.0109609482498327,0.010126771595934,0.0509098331833052,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"46","Lambda","clr_other","cycle_num",-0.119047889235026,-0.0750174668463013,-0.0536960564221219,-0.0539966229735571,-0.0325800187815677,0.0103823827038155,"A1_A3_S2_18S","A1","S2","18S",0.5,2
"47","Lambda","clr_Calanidae","cycle_num",0.00325021872173015,0.042840730887007,0.0627353990540745,0.06273635595223,0.0827879696618331,0.121935397828731,"A1_A3_S3_18S","A1","S3","18S",1,2
"48","Lambda","clr_Clausocalanidae","cycle_num",-0.152036190937086,-0.0959750494025577,-0.070415882494598,-0.0712573404782421,-0.0454260092313311,0.00619627969560048,"A1_A3_S3_18S","A1","S3","18S",1,2
"49","Lambda","clr_Eucalanidae","cycle_num",-0.154386385912152,-0.0930793743396969,-0.0634852071433413,-0.0646447017406732,-0.0354073369556834,0.0176586955095715,"A1_A3_S3_18S","A1","S3","18S",1,2
"50","Lambda","clr_Euphausiidae","cycle_num",-0.00169684953146705,0.089627246848466,0.134233031750249,0.133960821853206,0.177341494143514,0.270671469692072,"A1_A3_S3_18S","A1","S3","18S",1,2
"51","Lambda","clr_Metridinidae","cycle_num",0.0732343793816575,0.114856594650246,0.136007814349154,0.136560356054918,0.157720368676437,0.201851487422059,"A1_A3_S3_18S","A1","S3","18S",1,2
"52","Lambda","clr_Oithonidae","cycle_num",-0.215629458129636,-0.157947431166579,-0.132005448288477,-0.133067448827286,-0.106320689138093,-0.0602258703510707,"A1_A3_S3_18S","A1","S3","18S",1,2
"53","Lambda","clr_Paracalanidae","cycle_num",-0.138591469606338,-0.0964727876733973,-0.0763816151781905,-0.0769350087321168,-0.0568133507797033,-0.0183999453693743,"A1_A3_S3_18S","A1","S3","18S",1,2
"54","Lambda","clr_Rhincalanidae","cycle_num",-0.0323790421024538,0.00917370947265003,0.0293828050577357,0.0291858497525936,0.0495452419918204,0.0905392012809931,"A1_A3_S3_18S","A1","S3","18S",1,2
"55","Lambda","clr_other","cycle_num",-0.142054331498452,-0.0570267679531896,-0.0159561749836044,-0.01653888383463,0.0245169392883367,0.108796752499512,"A1_A3_S3_18S","A1","S3","18S",1,2
"56","Lambda","clr_Calanidae","cycle_num",0.0272321270403771,0.0522374620550573,0.0644229539713628,0.0642698278386579,0.0765543194961695,0.100487481280754,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"57","Lambda","clr_Clausocalanidae","cycle_num",0.074272718076177,0.102798642659383,0.116820534542822,0.116712198459959,0.130652353641538,0.157827858179161,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"58","Lambda","clr_Eucalanidae","cycle_num",-0.228483122818488,-0.189085192421748,-0.169520545684312,-0.17004649618657,-0.150732685724679,-0.113816297386246,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"59","Lambda","clr_Euphausiidae","cycle_num",-0.0437000870096796,-0.0171498960210124,-0.0043585205320063,-0.00457075997725523,0.00806837758020902,0.0337215837562832,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"60","Lambda","clr_Metridinidae","cycle_num",0.110411652536769,0.142556161488811,0.158204007991692,0.158400034625719,0.174252976470305,0.206275764599395,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"61","Lambda","clr_Oithonidae","cycle_num",-0.0592015308496283,-0.0369811468978192,-0.0256530718325966,-0.0256455470471735,-0.0143324645883595,0.00862071937434529,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"62","Lambda","clr_Paracalanidae","cycle_num",0.0165723093705042,0.0358123288624211,0.046336176823097,0.0464466683752682,0.0568897190390875,0.0774647012269147,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"63","Lambda","clr_Rhincalanidae","cycle_num",-0.137095486065578,-0.0829068503924373,-0.0550741397999443,-0.055102526253046,-0.0279739516092377,0.0274690311974605,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"64","Lambda","clr_other","cycle_num",-0.252806026199624,-0.169451000678555,-0.129698839126642,-0.13046339983556,-0.0904509147323654,-0.0116668429023799,"B3_B5_S1_18S","B3","S1","18S",0.2,3
"65","Lambda","clr_Calanidae","cycle_num",0.0275070720403119,0.0520619575792711,0.0640545347597633,0.0642045109660246,0.0762845337475572,0.100647191196179,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"66","Lambda","clr_Clausocalanidae","cycle_num",0.0756931675667723,0.102822280381782,0.11642474099435,0.116609503904094,0.129929678491592,0.157948455485428,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"67","Lambda","clr_Eucalanidae","cycle_num",-0.232750295042972,-0.190495771335393,-0.170456046808557,-0.171232081907222,-0.151199259959602,-0.113675121506894,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"68","Lambda","clr_Euphausiidae","cycle_num",-0.0434013216058612,-0.0176347087471492,-0.00450711496738762,-0.00449136734013869,0.00864455232311026,0.0341612251777455,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"69","Lambda","clr_Metridinidae","cycle_num",0.111553721363271,0.142673458235271,0.158394566996411,0.158548673422439,0.174535317861241,0.205156741522047,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"70","Lambda","clr_Oithonidae","cycle_num",-0.0597653936677148,-0.0372201347548574,-0.025973068303193,-0.0260230853686952,-0.0148524017700049,0.00748244509413771,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"71","Lambda","clr_Paracalanidae","cycle_num",0.0155324653146573,0.0358434338159526,0.0463307455281406,0.0461792647741088,0.0565403576574772,0.0772010716706484,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"72","Lambda","clr_Rhincalanidae","cycle_num",-0.137617950942501,-0.0825441583775714,-0.0553333810576503,-0.0554043937456638,-0.0279924288463,0.0245486506777345,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"73","Lambda","clr_other","cycle_num",-0.243286131001532,-0.166135851148992,-0.127932390142146,-0.128391024704947,-0.0904457571984036,-0.014633259770969,"B3_B5_S2_18S","B3","S2","18S",0.5,3
"74","Lambda","clr_Calanidae","cycle_num",0.0270296532780954,0.0517830067024695,0.0639924839375796,0.0640890675541119,0.0762517043800428,0.101251881517018,"B3_B5_S3_18S","B3","S3","18S",1,3
"75","Lambda","clr_Clausocalanidae","cycle_num",0.0761616223060253,0.102438818372438,0.116517014357796,0.116462255652725,0.13049390983081,0.157910874400356,"B3_B5_S3_18S","B3","S3","18S",1,3
"76","Lambda","clr_Eucalanidae","cycle_num",-0.230210782221951,-0.188402633570474,-0.169359179501218,-0.169951849562935,-0.150524995205836,-0.112521602488484,"B3_B5_S3_18S","B3","S3","18S",1,3
"77","Lambda","clr_Euphausiidae","cycle_num",-0.0432376464098513,-0.0169648521086987,-0.00418755371200344,-0.00425198962931922,0.00853760952766176,0.0345006796847605,"B3_B5_S3_18S","B3","S3","18S",1,3
"78","Lambda","clr_Metridinidae","cycle_num",0.110206588470818,0.142412109094463,0.158184469507295,0.158163238273486,0.174334969520561,0.205523255392652,"B3_B5_S3_18S","B3","S3","18S",1,3
"79","Lambda","clr_Oithonidae","cycle_num",-0.0598264037156064,-0.0371513235468703,-0.0258812698318768,-0.0259951547012796,-0.0146154787135147,0.0070518761383241,"B3_B5_S3_18S","B3","S3","18S",1,3
"80","Lambda","clr_Paracalanidae","cycle_num",0.0149114306881681,0.0355138568017445,0.0459438523818767,0.0459280755245291,0.0563157776955158,0.0776621582464316,"B3_B5_S3_18S","B3","S3","18S",1,3
"81","Lambda","clr_Rhincalanidae","cycle_num",-0.139636233234225,-0.0839512680290099,-0.0554084958856754,-0.055715323076255,-0.0282521612900536,0.027671028494658,"B3_B5_S3_18S","B3","S3","18S",1,3
"82","Lambda","clr_other","cycle_num",-0.24791239233374,-0.167453978178853,-0.128574337164035,-0.128728320035063,-0.0886743336554119,-0.0114908667819006,"B3_B5_S3_18S","B3","S3","18S",1,3
"83","Lambda","clr_Calanidae","cycle_num",0.0795396190217818,0.104078528961174,0.115988991226032,0.116237919990512,0.128345116851026,0.153524795111284,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"84","Lambda","clr_Clausocalanidae","cycle_num",0.00266748765512727,0.0352442740117814,0.0508148246420042,0.0511488192636524,0.0671577909324435,0.0992016338854474,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"85","Lambda","clr_Eucalanidae","cycle_num",-0.18847875568404,-0.13933659065676,-0.115087790057412,-0.115218201200054,-0.0904869722862849,-0.0430237168893242,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"86","Lambda","clr_Euphausiidae","cycle_num",0.0257238907813491,0.0511889810527477,0.0637457701701778,0.0638185390493556,0.0766488923722388,0.101900130866934,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"87","Lambda","clr_Metridinidae","cycle_num",0.083871669573798,0.112066072710905,0.125720876024872,0.125978395972889,0.139928752532495,0.168573368302128,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"88","Lambda","clr_Paracalanidae","cycle_num",-0.0300410551220389,0.000248479796483847,0.0159785733216104,0.0160890148638788,0.0316840626822984,0.063407377452001,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"89","Lambda","clr_Rhincalanidae","cycle_num",-0.0592212243711652,-0.00886671471547183,0.0157470440476657,0.0158793912906157,0.041024119940863,0.0912011383718246,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"90","Lambda","clr_Salpidae","cycle_num",-0.234681834063075,-0.183802978228279,-0.158011493084583,-0.158546003576112,-0.133310022611353,-0.0826966451292555,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"91","Lambda","clr_other","cycle_num",-0.190214185977935,-0.140196383361222,-0.114931182612988,-0.115387875654738,-0.0906857257302854,-0.0401556710728942,"C5_C7_S1_18S","C5","S1","18S",0.2,4
"92","Lambda","clr_Calanidae","cycle_num",0.0275070720403119,0.0520619575792711,0.0640545347597633,0.0642045109660246,0.0762845337475572,0.100647191196179,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"93","Lambda","clr_Clausocalanidae","cycle_num",0.0756931675667723,0.102822280381782,0.11642474099435,0.116609503904094,0.129929678491592,0.157948455485428,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"94","Lambda","clr_Eucalanidae","cycle_num",-0.232750295042972,-0.190495771335393,-0.170456046808557,-0.171232081907222,-0.151199259959602,-0.113675121506894,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"95","Lambda","clr_Euphausiidae","cycle_num",-0.0434013216058612,-0.0176347087471492,-0.00450711496738762,-0.00449136734013869,0.00864455232311026,0.0341612251777455,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"96","Lambda","clr_Metridinidae","cycle_num",0.111553721363271,0.142673458235271,0.158394566996411,0.158548673422439,0.174535317861241,0.205156741522047,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"97","Lambda","clr_Oithonidae","cycle_num",-0.0597653936677148,-0.0372201347548574,-0.025973068303193,-0.0260230853686952,-0.0148524017700049,0.00748244509413771,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"98","Lambda","clr_Paracalanidae","cycle_num",0.0155324653146573,0.0358434338159526,0.0463307455281406,0.0461792647741088,0.0565403576574772,0.0772010716706484,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"99","Lambda","clr_Rhincalanidae","cycle_num",-0.137617950942501,-0.0825441583775714,-0.0553333810576503,-0.0554043937456638,-0.0279924288463,0.0245486506777345,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"100","Lambda","clr_other","cycle_num",-0.243286131001532,-0.166135851148992,-0.127932390142146,-0.128391024704947,-0.0904457571984036,-0.014633259770969,"C5_C7_S2_18S","C5","S2","18S",0.5,4
"101","Lambda","clr_Calanidae","cycle_num",0.0791989947565391,0.103975354601223,0.116489530486454,0.116488099002096,0.12890170210535,0.153287464448928,"C5_C7_S3_18S","C5","S3","18S",1,4
"102","Lambda","clr_Clausocalanidae","cycle_num",0.00337120076608071,0.035306780947212,0.0512152743778223,0.0513829684486305,0.0673075390791901,0.0992646279989928,"C5_C7_S3_18S","C5","S3","18S",1,4
"103","Lambda","clr_Eucalanidae","cycle_num",-0.188928374407888,-0.139880378084998,-0.115040737507765,-0.115216048416883,-0.0907487015608313,-0.0421833859884787,"C5_C7_S3_18S","C5","S3","18S",1,4
"104","Lambda","clr_Euphausiidae","cycle_num",0.0257315525954873,0.051551200029235,0.0646672920338206,0.0643075411559018,0.0771894543039853,0.102910662892284,"C5_C7_S3_18S","C5","S3","18S",1,4
"105","Lambda","clr_Metridinidae","cycle_num",0.0843413227699554,0.112700908382533,0.126475280385838,0.126532587367453,0.1405542223075,0.167972202695263,"C5_C7_S3_18S","C5","S3","18S",1,4
"106","Lambda","clr_Paracalanidae","cycle_num",-0.0306428487187357,0.000512007083286581,0.0159488643829602,0.0161637743706438,0.0319623255683798,0.062842235817214,"C5_C7_S3_18S","C5","S3","18S",1,4
"107","Lambda","clr_Rhincalanidae","cycle_num",-0.0616343553362972,-0.00975144924959025,0.0154642344022357,0.0156480049958728,0.0411363973689935,0.0926514495858923,"C5_C7_S3_18S","C5","S3","18S",1,4
"108","Lambda","clr_Salpidae","cycle_num",-0.237726795928453,-0.184854398813758,-0.158624445312877,-0.159163499521363,-0.133702268362013,-0.0820041213074629,"C5_C7_S3_18S","C5","S3","18S",1,4
"109","Lambda","clr_other","cycle_num",-0.194179775334053,-0.141431723155007,-0.115625681494369,-0.116143427402352,-0.0897408719698911,-0.0425096346876264,"C5_C7_S3_18S","C5","S3","18S",1,4
